,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
174,for.body8,atax,1.0,kernel_atax_StrictFP,88455000.0,44227500.0,8000017.0,88455000.0,2,8,44227500.0
175,for.body8,atax,1.0,kernel_atax_StrictFP,91039000.0,45519500.0,8000017.0,91039000.0,2,10,45519500.0
176,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,913.408,1000.0,0.0,1,1,281.237
177,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,912.343,1000.0,0.0,1,0,282.797
178,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,910.981,1000.0,0.0,1,2,284.776
179,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,914.954,1000.0,0.0,1,3,278.951
180,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,910.623,1000.0,0.0,1,4,285.288
181,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,913.015,1000.0,0.0,1,5,281.814
182,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,904.399,1000.0,0.0,1,6,294.044
183,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,903.909,1000.0,0.0,1,7,294.718
184,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,914.734,1000.0,0.0,1,8,279.282
185,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,902.943,1000.0,0.0,1,9,296.039
186,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,913.989,1000.0,0.0,1,10,280.382
187,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,912.581,1000.0,0.0,2,1,282.453
188,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,915.869,1000.0,0.0,2,0,277.586
189,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,915.193,1000.0,0.0,2,2,278.595
190,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,907.228,1000.0,0.0,2,3,290.114
